2026-05-06T13:25:28.001597 | I | worker_oc_service_create_impl.cpp:56 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  [Create] Receive create meta request, clientId: b36a6a9f-36bb-4dc7-af27-52a37566659e, objectKey: kv_test_13_0_27066725843790_0, cacheType: 0, size: 8388608
2026-05-06T13:25:28.001619 | I | worker_oc_service_create_impl.cpp:80 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:291 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  [Client b36a6a9f-36bb-4dc7-af27-52a37566659e] [ObjectKey kv_test_13_0_27066725843790_0] The operations of worker Create exceed 3ms: {}
2026-05-06T13:25:28.001995 | I | worker_oc_service_publish_impl.cpp:357 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  [ObjectKey kv_test_13_0_27066725843790_0] is being publishing [Sz: 8388608].
2026-05-06T13:25:28.002003 | I | worker_oc_service_publish_impl.cpp:310 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  Client b36a6a9f-36bb-4dc7-af27-52a37566659e is putting the object kv_test_13_0_27066725843790_0, ReserveGetAndLock elapsed 0 ms.
2026-05-06T13:25:28.002007 | I | worker_oc_service_publish_impl.cpp:249 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  Current life state: 0, next state: 1, ttl second: 5.
2026-05-06T13:25:28.002018 | I | worker_oc_service_publish_impl.cpp:134 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  Create meta to master[192.168.219.127:31402], src=192.168.189.125:31402, dst=192.168.219.127:31402
2026-05-06T13:25:28.002722 | I | worker_oc_service_publish_impl.cpp:253 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  Request to master success
2026-05-06T13:25:28.002727 | I | worker_oc_service_publish_impl.cpp:399 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  Put success
2026-05-06T13:25:28.002736 | I | worker_oc_service_publish_impl.cpp:425 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:292 | 22cf1e5c-e85a-4780-9161-866904145aaf | jingpai |  The operations of worker Publish exceed 3ms: {}
2026-05-06T13:25:28.004865 | I | worker_worker_oc_service_impl.cpp:693 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:299 | 54998dcf-0e96-4b6f-87ae-a83b1991720a | jingpai |  BatchGetObjectRemote request (objectKey, requestId, readOffset, readSize): (kv_test_13_0_27066725843790_0,,0,8388608) remainingTime:895ms, src=192.168.219.127:31402, dst=192.168.189.125:31402
2026-05-06T13:25:28.004873 | I | worker_worker_oc_service_impl.cpp:196 | kvc-jingpai-worker-7b9d7c9dfc-lkcph | 11:299 | 54998dcf-0e96-4b6f-87ae-a83b1991720a | jingpai |  Processing pull object[kv_test_13_0_27066725843790_0] offset[0] size[8388608], src=192.168.219.127:31402, dst=192.168.189.125:31402
