SDK_192.168.182.10/ds_client_access_64.log:9:2026-05-06T13:25:28.478273 | I | access_recorder.cpp:182 | kvc-jingpai-client-bf8d49dbb-d2nc7 | 64:130 | e18c3204-126e-43b2-9ada-a427b0ac5963 |  | 0 | DS_KV_CLIENT_GET | 49469 | 8388608 | {Object_key:kv_test_1_0_28458466174080_0,timeout:0,transportType:SHM}
worker_192.168.182.61/datasystem_worker.INFO.log:2626:2026-05-06T13:25:28.429016 | I | worker_oc_service_get_impl.cpp:130 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:291 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Get start from client:6041ea26-74c2-4077-9097-7006ccde3269 server api read elapsed ms: 0.00875 inflight remote get request count: 1
worker_192.168.182.61/datasystem_worker.INFO.log:2627:2026-05-06T13:25:28.429038 | I | worker_oc_service_get_impl.cpp:165 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Process Get from client: 6041ea26-74c2-4077-9097-7006ccde3269, objects: kv_test_1_0_28458466174080_0, get threads Statistics: idle(6),total(8),wait(0), elapsed ms: 0, remainingTime: 898
worker_192.168.182.61/datasystem_worker.INFO.log:2628:2026-05-06T13:25:28.429057 | I | worker_oc_service_get_impl.cpp:1749 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Query metadata from master: 192.168.102.125:31402, objects: kv_test_1_0_28458466174080_0, request id: ff6c6029-0f00-4672-bee7-38f83329d48d, remainingTime:896ms
worker_192.168.182.61/datasystem_worker.INFO.log:2629:2026-05-06T13:25:28.429063 | I | rpc_stub_cache_mgr.cpp:191 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Start to create stub, destAddr: 192.168.102.125:31402, type: 1
worker_192.168.182.61/datasystem_worker.INFO.log:2631:2026-05-06T13:25:28.429405 | I | zmq_stub_conn.cpp:466 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  update liveness from 120 to 3 heartbeatInterval from 1000 to 15000
worker_192.168.182.61/datasystem_worker.INFO.log:2646:2026-05-06T13:25:28.477523 | I | worker_oc_service_get_impl.cpp:778 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Query meta success: target num 1, success num 1, elapsed 48.472 ms
worker_192.168.182.61/datasystem_worker.INFO.log:2647:2026-05-06T13:25:28.477547 | I | worker_oc_service_batch_get_impl.cpp:607 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Remote get request:[batch] objects count[1], src=192.168.182.61:31402, dst=192.168.102.125:31402
worker_192.168.182.61/datasystem_worker.INFO.log:2655:2026-05-06T13:25:28.478204 | I | worker_oc_service_get_impl.cpp:193 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Process Get done, clientId: 6041ea26-74c2-4077-9097-7006ccde3269, objectKeys: kv_test_1_0_28458466174080_0, subTimeout: 0, get threads Statistics: idle(4),total(8),wait(0).The operations of worker Get exceed 3ms: {Worker to master rpc QueryMeta: 48 ms; ProcessGetObjectRequest: 49 ms; }
worker_192.168.182.61/access.log:35:2026-05-06T13:25:28.478191 | I | access_recorder.cpp:182 | kvc-jingpai-worker-7b9d7c9dfc-8f2fq | 11:207 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai | 0 | DS_POSIX_GET | 49185 | 8388608 | {Object_key:kv_test_1_0_28458466174080_0,count:1,sub_timeout:0}
worker_192.168.102.125/datasystem_worker.INFO.log:6443:2026-05-06T13:25:28.461386 | I | master_oc_service_impl.cpp:261 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:283 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Processing QueryMetaReq, requestId: ff6c6029-0f00-4672-bee7-38f83329d48d
worker_192.168.102.125/datasystem_worker.INFO.log:6444:2026-05-06T13:25:28.461398 | I | master_oc_service_impl.cpp:270 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:283 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  QueryMeta on master 192.168.182.61:31402, target num 1, success num 1. The operations of master QueryMeta exceed 3ms: {}
worker_192.168.102.125/datasystem_worker.INFO.log:6445:2026-05-06T13:25:28.461749 | I | worker_worker_oc_service_impl.cpp:693 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:303 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  BatchGetObjectRemote request (objectKey, requestId, readOffset, readSize): (kv_test_1_0_28458466174080_0,,0,8388608) remainingTime:847ms, src=192.168.182.61:31402, dst=192.168.102.125:31402
worker_192.168.102.125/datasystem_worker.INFO.log:6446:2026-05-06T13:25:28.461760 | I | worker_worker_oc_service_impl.cpp:196 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:303 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  Processing pull object[kv_test_1_0_28458466174080_0] offset[0] size[8388608], src=192.168.182.61:31402, dst=192.168.102.125:31402
worker_192.168.102.125/datasystem_worker.INFO.log:6447:2026-05-06T13:25:28.461776 | I | urma_manager.cpp:1297 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:303 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  URMA write useNumaAffinity:1src:2, dst:1, jetty id:1030, urma_inflight_wr_count:1
worker_192.168.102.125/datasystem_worker.INFO.log:6448:2026-05-06T13:25:28.462052 | I | urma_manager.cpp:852 | kvc-jingpai-worker-7b9d7c9dfc-kfqb7 | 11:303 | e18c3204-126e-43b2-9ada-a427b0ac5963 | jingpai |  [URMA_ELAPSED_TOTAL]: Waiting URMA jfc event done after urma_post_jetty_send_wr cost 0.2547ms, request id:75, src address:192.168.102.125:31402, target address:192.168.182.61:31402, dataSize:8388608, cpuid:0, status: code: [OK], msg: [], urma_inflight_wr_count: 1, suggest: check whether URMA_ELAPSED_THREAD_SHED/URMA_ELAPSED_POLL_JFC/URMA_ELAPSED_NOTIFY logs appear in the same time window; if none appear, check URMA and UDMA
